satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,cluster
0.1,0.98,6,268,4,0,1,0,8,1,3
0.1,0.93,6,289,4,1,1,0,8,1,3
0.11,0.83,6,306,4,0,1,0,8,1,3
0.11,0.79,6,292,4,0,1,1,9,1,3
0.11,0.91,6,308,4,1,1,0,0,1,3
0.11,0.81,5,287,4,0,1,0,7,1,3
0.1,0.81,6,268,4,0,1,0,5,1,3
0.11,0.94,6,276,4,0,1,0,7,1,3
0.11,0.91,7,287,4,0,1,0,7,1,3
0.1,0.85,6,266,4,0,1,0,7,1,3
0.11,0.85,7,302,4,0,1,0,7,1,3
0.09,0.98,6,271,4,0,1,0,7,1,3
0.33,0.88,6,219,5,0,1,0,8,1,3
0.31,0.62,6,135,5,0,1,0,8,1,3
0.09,0.91,6,275,4,0,1,0,8,1,3
0.1,0.87,6,290,4,0,1,0,8,1,3
0.1,0.83,6,258,4,0,1,0,4,1,3
0.1,0.82,6,266,4,0,1,0,0,1,3
0.11,0.93,6,282,4,0,1,0,7,1,3
0.09,0.79,6,293,5,0,1,0,7,1,3
0.1,0.87,6,250,4,0,1,0,7,1,3
0.09,0.94,6,257,4,0,1,0,7,1,3
0.28,0.45,6,218,4,0,1,0,2,1,3
0.1,0.84,6,309,4,0,1,0,8,1,3
0.11,0.85,6,261,4,0,1,0,8,1,3
0.09,0.94,6,283,5,0,1,0,0,1,3
0.1,0.84,5,298,4,0,1,0,0,1,3
0.1,0.85,6,260,4,0,1,0,7,1,3
0.11,0.87,5,271,4,0,1,0,7,1,3
0.09,0.79,6,275,4,0,1,0,7,1,3
0.11,0.96,7,277,5,0,1,0,7,1,3
0.1,0.79,6,274,4,0,1,0,7,1,3
0.32,0.95,5,172,2,0,1,0,7,1,3
0.19,1.0,4,192,4,0,1,0,2,1,3
0.1,0.83,7,276,4,0,1,0,2,1,3
0.11,0.87,7,282,5,0,1,0,9,1,3
0.09,0.96,6,259,4,0,1,0,8,1,3
0.11,0.89,6,293,4,0,1,0,8,1,3
0.1,0.89,6,247,4,0,1,0,9,1,3
0.09,0.86,7,309,4,0,1,0,9,1,3
0.1,0.95,7,289,4,0,1,0,0,1,3
0.09,0.9,7,289,4,0,1,0,6,1,3
0.11,0.96,6,298,4,0,1,0,7,1,3
0.1,0.9,7,281,4,0,1,0,7,1,3
0.11,0.8,7,296,4,0,1,0,7,1,3
0.09,0.86,6,279,4,0,1,0,7,1,3
0.1,0.77,7,291,4,0,1,0,2,1,3
0.11,0.79,7,310,4,0,1,0,3,1,3
0.1,0.8,6,264,4,0,1,0,9,1,3
0.1,0.77,6,255,4,0,1,0,4,1,3
0.09,0.87,5,263,4,0,1,0,0,1,3
0.11,0.9,6,263,4,0,1,0,0,1,3
0.11,0.92,7,307,4,0,1,0,0,1,3
0.1,0.84,7,250,4,0,1,0,6,1,3
0.11,0.79,6,292,4,0,1,0,0,1,3
0.1,0.9,7,286,4,0,1,0,7,1,3
0.34,0.67,4,141,2,0,1,0,7,1,3
0.11,0.89,6,260,5,0,1,0,7,1,3
0.1,0.79,6,256,5,0,1,0,8,1,3
0.1,0.77,5,276,4,0,1,0,8,1,3
0.46,0.62,6,213,3,0,1,0,8,1,3
0.1,0.92,6,258,4,0,1,0,9,1,3
0.11,0.95,6,245,4,0,1,0,4,1,3
0.11,0.94,6,264,4,0,1,0,0,1,3
0.11,0.82,6,270,4,0,1,0,6,1,3
0.1,0.83,6,269,4,0,1,0,0,1,3
0.11,0.87,7,278,4,0,1,0,7,1,3
0.11,0.8,6,306,4,0,1,0,7,1,3
0.11,0.87,6,255,4,0,1,0,7,1,3
0.11,0.78,6,243,4,0,1,0,3,1,3
0.31,0.87,4,184,3,0,1,0,9,1,3
0.5,0.54,5,153,4,0,1,0,8,1,3
0.11,0.9,6,301,4,0,1,0,9,1,3
0.11,0.78,6,245,4,0,1,0,9,1,3
0.1,0.9,7,290,4,0,1,0,7,1,3
0.09,0.93,6,249,4,0,1,0,7,1,3
0.1,0.92,6,243,4,1,1,0,7,1,3
0.23,0.99,4,204,4,1,1,0,2,1,3
0.11,0.87,6,301,4,0,1,0,2,1,3
0.11,0.79,7,295,4,0,1,0,3,1,3
0.11,0.91,5,291,4,0,1,0,9,1,3
0.11,0.93,6,253,4,1,1,0,9,1,3
0.1,0.92,7,253,4,1,1,0,8,1,3
0.11,0.93,7,284,4,0,1,0,9,1,3
0.11,0.86,6,308,4,0,1,0,0,1,3
0.1,0.93,6,269,4,0,1,0,0,1,3
0.11,0.78,6,300,4,1,1,0,1,1,3
0.09,0.93,6,308,4,0,1,0,1,1,3
0.1,0.93,6,270,4,0,1,0,7,1,3
0.1,0.94,6,260,4,0,1,0,7,1,3
0.1,0.9,5,263,4,0,1,0,3,1,3
0.14,0.73,7,282,5,0,1,0,9,1,3
0.11,0.94,6,277,5,0,1,0,9,1,3
0.49,0.63,6,265,3,0,1,0,9,1,3
0.11,0.77,7,273,4,0,1,0,4,1,3
0.1,0.78,7,286,4,0,1,0,6,1,3
0.09,0.86,6,291,4,0,1,0,6,1,3
0.11,0.82,6,304,4,1,1,0,2,1,3
0.1,0.95,7,301,4,0,1,0,7,1,3
0.11,0.8,6,286,4,0,1,0,7,1,3
0.1,0.89,6,246,4,0,1,0,7,1,3
0.11,0.89,6,301,4,0,1,0,2,1,3
0.11,0.85,7,272,4,0,1,0,2,1,3
0.11,0.95,6,285,4,0,1,0,9,1,3
0.09,0.9,7,289,5,0,1,0,9,1,3
0.09,0.94,6,308,4,0,1,0,9,1,3
0.1,0.91,6,262,5,1,1,0,9,1,3
0.11,0.87,5,303,4,0,1,0,0,1,3
0.11,0.95,6,271,4,0,1,0,0,1,3
0.1,0.79,6,249,4,0,1,0,1,1,3
0.09,0.77,6,244,4,0,1,0,5,1,3
0.09,0.9,6,287,4,0,1,0,9,1,3
0.1,0.82,6,272,4,0,1,0,9,1,3
0.1,0.97,6,307,4,0,1,0,9,1,3
0.11,0.93,4,295,3,0,1,0,9,1,3
0.1,0.86,6,266,4,1,1,0,9,1,3
0.09,0.78,6,244,4,0,1,0,0,1,3
0.09,0.84,6,258,4,0,1,0,0,1,3
0.1,0.8,7,292,5,0,1,0,0,1,3
0.31,0.95,6,235,5,0,1,0,6,1,3
0.34,0.97,6,157,5,1,1,0,1,1,3
0.11,0.91,6,302,4,0,1,0,1,1,3
0.1,0.89,6,244,4,1,1,0,8,1,3
0.53,0.95,6,205,4,0,1,0,5,1,3
0.11,0.77,6,275,4,0,1,0,2,1,3
0.1,0.77,7,308,4,0,1,0,2,1,3
0.11,0.83,6,262,4,0,1,0,3,1,3
0.09,0.97,7,262,4,0,1,0,9,1,3
0.11,0.89,6,254,4,0,1,0,9,1,3
0.1,0.91,7,297,4,0,1,0,9,1,3
0.09,0.82,7,267,4,0,1,0,9,1,3
0.09,0.82,6,251,4,0,1,0,8,1,3
0.11,0.87,6,291,4,0,1,0,6,1,3
0.09,0.92,6,303,5,0,1,0,7,1,3
0.1,0.91,6,286,4,0,1,0,5,1,3
0.1,0.96,6,303,4,0,1,0,7,1,3
0.09,0.91,6,248,4,0,1,0,7,1,3
0.11,0.91,6,302,4,0,1,0,2,1,3
0.11,0.91,6,272,4,0,1,0,2,1,3
0.09,0.8,6,294,4,0,1,0,3,1,3
0.11,0.77,6,264,4,0,1,0,9,1,3
0.11,0.96,6,262,4,1,1,0,9,1,3
0.1,0.93,6,299,4,0,1,0,9,1,3
0.09,0.8,5,279,4,0,1,0,9,1,3
0.11,0.89,6,264,4,0,1,0,8,1,3
0.1,0.93,6,243,4,0,1,0,6,1,3
0.11,0.83,6,268,4,0,1,0,6,1,3
0.09,0.77,6,244,4,0,1,0,6,1,3
0.09,0.87,7,278,4,0,1,0,0,1,3
0.09,0.84,6,301,4,0,1,0,9,1,3
0.1,0.85,7,310,5,0,1,0,5,1,3
0.1,0.82,7,284,4,0,1,0,2,1,3
0.09,0.95,6,260,4,1,1,0,9,1,3
0.11,0.84,6,252,4,0,1,0,9,1,3
0.1,0.92,6,285,4,0,1,0,9,1,3
0.09,0.83,7,258,4,0,1,0,6,1,3
0.43,0.56,6,149,4,0,1,0,6,1,3
0.1,0.9,6,272,5,0,1,0,1,1,3
0.1,0.97,7,284,4,0,1,0,8,1,3
0.09,0.78,7,290,4,0,1,0,4,1,3
0.11,0.93,6,276,4,0,1,0,7,1,3
0.1,0.77,6,272,4,0,1,0,2,1,3
0.1,0.96,7,301,4,0,1,0,3,1,3
0.1,0.81,6,252,4,0,1,0,3,1,3
0.09,0.86,6,297,4,0,1,0,3,1,3
0.1,0.8,6,248,4,0,1,0,9,1,3
0.11,0.89,7,257,4,0,1,0,9,1,3
0.1,0.96,6,275,4,0,1,0,9,1,3
0.38,1.0,5,137,4,0,1,0,8,1,3
0.11,0.83,6,262,5,0,1,0,0,1,3
0.1,0.83,6,293,4,0,1,0,6,1,3
0.11,0.89,6,284,4,0,1,0,1,1,3
0.11,0.86,6,273,4,1,1,0,8,1,3
0.1,0.88,6,263,4,0,1,0,5,1,3
0.11,0.91,6,279,4,0,1,0,7,1,3
0.11,0.86,6,299,4,1,1,0,7,1,3
0.15,0.62,4,257,3,0,1,0,3,1,3
0.2,0.9,6,138,3,0,1,0,9,1,3
0.11,0.85,6,295,4,0,1,0,9,1,3
0.11,0.96,6,301,5,0,1,0,9,1,3
0.1,0.95,7,296,4,0,1,0,9,1,3
0.1,0.82,6,269,4,0,1,0,8,1,3
0.1,0.89,7,285,4,0,1,0,0,1,3
0.11,0.88,7,305,4,0,1,0,6,1,3
0.11,0.89,6,250,4,0,1,0,1,1,3
0.63,0.83,6,242,5,0,1,0,2,1,3
0.55,1.0,6,136,3,0,1,0,8,1,3
0.1,0.81,6,248,4,0,1,0,5,1,3
0.09,0.77,6,310,4,0,1,0,3,1,3
0.11,0.87,6,254,4,0,1,0,3,1,3
0.11,0.88,7,253,4,0,1,0,3,1,3
0.11,0.97,6,260,4,0,1,0,9,1,3
0.1,0.96,7,288,4,0,1,0,9,1,3
0.17,0.75,3,188,4,0,1,0,9,1,3
0.1,0.85,7,259,4,0,1,0,9,1,3
0.11,0.83,6,253,4,0,1,0,8,1,3
0.1,0.83,5,271,5,0,1,0,8,1,3
0.1,0.82,7,265,4,0,1,0,1,1,3
0.1,0.8,6,261,4,0,1,0,1,1,3
0.1,0.94,6,297,5,0,1,0,5,1,3
0.09,0.84,7,260,4,0,1,0,7,1,3
0.09,0.83,6,286,4,0,1,0,3,1,3
0.11,0.88,6,290,4,0,1,0,3,1,3
0.12,0.8,5,136,2,0,1,0,9,1,3
0.1,0.86,7,261,5,0,1,0,9,1,3
0.1,0.96,6,274,4,0,1,0,9,1,3
0.11,0.9,5,307,4,0,1,0,8,1,3
0.1,0.96,6,310,5,0,1,0,8,1,3
0.11,0.93,7,296,4,0,1,0,1,1,3
0.11,0.87,6,278,5,0,1,0,9,1,3
0.09,0.92,7,301,4,0,1,0,5,1,3
0.1,0.93,6,307,4,0,1,0,7,1,3
0.11,0.78,6,247,4,0,1,0,9,1,3
0.09,0.83,6,295,5,0,1,0,9,1,3
0.11,0.78,6,281,4,0,1,0,9,1,3
0.1,0.93,7,258,4,0,1,0,9,1,3
0.1,0.97,7,282,4,0,1,0,9,1,3
0.11,0.85,7,244,4,0,1,0,8,1,3
0.1,0.88,7,282,4,0,1,0,8,1,3
0.1,0.89,7,253,4,0,1,0,8,1,3
0.09,0.9,6,256,4,0,1,0,8,1,3
0.11,0.86,6,245,4,0,1,0,8,1,3
0.09,0.96,7,274,5,0,1,0,5,1,3
0.22,0.86,4,293,3,0,1,0,5,1,3
0.1,0.87,6,248,4,0,1,0,7,1,3
0.1,0.87,7,299,4,0,1,0,7,1,3
0.1,0.9,6,301,5,0,1,0,9,1,3
0.11,0.96,6,310,4,0,1,0,9,1,3
0.11,0.87,6,280,4,0,1,0,9,1,3
0.1,0.86,5,253,4,0,1,0,9,1,3
0.11,0.94,6,266,4,0,1,0,8,1,3
0.23,0.7,5,168,4,0,1,0,8,1,3
0.11,0.88,7,275,4,0,1,0,8,1,3
0.11,0.96,7,244,4,0,1,0,8,1,3
0.1,0.87,7,247,4,0,1,0,5,1,3
0.09,0.85,7,307,4,0,1,0,4,1,3
0.09,0.86,6,245,4,0,1,0,7,1,3
0.11,0.87,6,273,4,0,1,0,7,1,3
0.09,0.93,6,273,5,0,1,0,7,1,3
0.11,0.92,7,265,4,0,1,0,9,1,3
0.09,0.78,6,263,4,0,1,0,9,1,3
0.11,0.79,6,264,4,0,1,0,9,1,3
0.11,0.88,6,253,4,0,1,0,8,1,3
0.1,0.87,6,254,5,0,1,0,8,1,3
0.11,0.94,7,280,5,0,1,0,8,1,3
0.1,0.81,6,271,4,0,1,0,9,1,3
0.3,0.89,5,257,5,0,1,0,1,1,3
0.1,0.85,6,266,4,0,1,0,7,1,3
0.09,0.9,6,295,4,0,1,0,2,1,3
0.54,0.83,6,165,6,0,1,0,8,1,3
0.1,0.79,6,275,4,0,1,0,4,1,3
0.1,0.9,6,299,4,0,1,0,5,1,3
0.1,0.97,7,306,4,0,1,0,5,1,3
0.09,0.84,6,269,4,0,1,0,7,1,3
0.1,0.87,7,251,5,0,1,0,9,1,3
0.09,0.93,6,279,4,0,1,0,9,1,3
0.11,0.8,6,304,4,0,1,0,9,1,3
0.09,0.89,6,282,4,0,1,0,8,1,3
0.1,0.86,6,283,4,0,1,0,8,1,3
0.11,0.86,6,286,4,0,1,0,8,1,3
0.1,0.81,6,245,4,0,1,0,8,1,3
0.11,0.95,6,279,4,0,1,0,9,1,3
0.2,0.5,5,135,6,0,1,0,1,1,3
0.09,0.95,6,271,4,0,1,0,7,1,3
0.1,0.97,6,280,4,0,1,0,7,1,3
0.09,0.81,6,257,4,0,1,0,8,1,3
0.11,0.96,6,280,4,0,1,0,8,1,3
0.09,0.89,7,310,4,0,1,0,8,1,3
0.1,0.98,6,265,4,0,1,0,9,1,3
0.15,0.63,7,229,3,0,1,0,5,1,3
0.11,0.92,7,293,4,0,1,0,7,1,3
0.45,0.69,5,193,3,0,0,0,7,1,3
0.5,0.75,6,127,3,0,0,0,7,1,3
0.19,0.53,6,191,4,0,0,0,8,1,3
0.33,0.88,6,260,3,0,0,0,9,1,3
0.33,0.45,6,239,3,0,0,0,7,1,3
0.25,0.65,5,220,3,0,0,0,7,1,3
0.12,0.87,4,244,5,0,0,0,7,1,3
0.35,0.5,5,227,2,0,0,0,8,1,3
0.5,0.95,5,207,3,0,0,0,9,1,3
0.27,0.59,5,226,5,0,0,0,7,1,3
0.38,0.94,5,252,5,0,0,0,7,1,3
0.17,0.59,3,197,5,0,0,0,0,1,3
0.14,0.64,5,164,5,0,0,0,6,1,3
0.15,0.74,6,212,2,0,0,0,7,1,3
0.32,0.48,5,246,3,0,0,0,8,1,3
0.18,0.94,3,187,6,1,0,0,6,1,3
0.13,0.43,4,165,5,0,0,0,7,1,3
0.19,0.63,4,142,6,0,0,0,1,1,3
0.22,0.6,3,205,6,1,0,0,7,1,3
0.15,0.53,4,205,5,1,0,0,7,1,3
0.15,0.8,5,151,2,1,0,0,7,1,3
0.19,0.98,5,226,4,1,0,0,2,1,3
0.33,0.4,4,212,2,1,0,0,2,1,3
0.15,0.51,6,248,5,0,0,0,8,1,3
0.21,0.7,6,130,6,1,0,0,1,1,3
0.18,0.75,4,170,5,0,0,0,7,1,3
0.14,0.77,4,166,5,0,0,0,7,1,3
0.14,0.52,4,217,6,0,0,0,7,1,3
0.13,0.67,3,181,4,0,0,0,9,1,3
0.24,0.5,5,174,4,0,0,0,4,1,3
0.63,0.61,6,118,2,0,0,0,0,1,3
0.17,0.76,4,171,5,0,0,0,6,1,3
0.22,0.81,5,205,4,0,0,0,1,1,3
0.21,0.65,5,223,3,1,0,0,7,1,3
0.52,0.38,6,169,3,0,0,0,2,1,3
0.18,0.67,5,285,5,0,0,0,2,1,3
0.3,0.37,6,278,3,0,0,0,9,1,3
0.21,0.61,3,173,2,0,0,0,1,1,3
0.31,0.49,4,165,3,1,0,0,9,1,3
0.38,0.68,5,211,6,0,0,0,9,1,3
0.33,0.7,5,271,4,0,0,0,1,1,3
0.3,0.47,4,176,2,0,0,0,7,1,3
0.3,0.91,4,248,4,0,0,0,4,1,3
0.32,0.73,6,194,5,0,0,0,6,1,3
0.34,0.87,6,175,4,0,0,0,1,1,3
0.2,0.74,6,148,4,0,0,0,5,1,3
0.5,0.95,5,194,3,0,0,0,7,1,3
0.35,0.52,5,244,3,0,0,0,3,1,3
0.17,0.93,3,218,4,0,0,0,9,1,3
0.16,0.97,6,235,3,0,0,0,9,1,3
0.22,0.52,5,147,5,1,0,0,1,1,3
0.2,0.89,6,244,3,0,0,0,1,1,3
0.24,0.65,6,194,3,0,0,0,9,1,3
0.2,0.77,6,213,4,0,0,0,8,1,3
0.29,0.58,5,234,2,0,0,0,6,1,3
0.48,0.56,5,140,2,0,0,0,0,1,3
0.3,0.7,5,280,4,1,0,0,2,1,3
0.5,0.89,5,222,3,0,0,0,7,1,3
0.22,0.44,3,166,6,0,0,0,3,1,3
0.14,0.83,5,175,6,1,0,0,0,1,3
0.24,0.85,4,155,5,0,0,0,6,1,3
0.22,0.8,4,287,4,0,0,0,1,1,3
0.21,0.76,5,239,2,0,0,0,1,1,3
0.24,0.55,5,208,5,0,0,0,1,1,3
0.42,0.89,6,188,5,1,0,0,7,1,3
0.48,0.59,5,235,3,0,0,0,6,1,3
0.38,0.81,5,128,3,1,0,0,2,1,3
0.34,0.57,4,152,3,1,0,0,2,1,3
0.17,0.76,4,280,5,0,0,0,3,1,3
0.49,0.61,5,133,3,0,0,0,9,1,3
0.21,0.52,5,130,2,0,0,0,0,1,3
0.12,0.93,6,257,6,1,0,0,1,1,3
0.17,0.59,5,250,5,0,0,0,5,1,3
0.15,0.93,4,185,5,0,0,0,3,1,3
0.23,0.52,5,236,4,0,0,0,1,1,3
0.34,0.63,5,248,3,0,0,0,7,1,3
0.45,0.37,6,226,2,0,0,0,9,1,3
0.48,0.86,5,246,3,0,0,0,9,1,3
0.21,0.7,3,104,2,0,0,0,9,1,3
0.15,0.84,4,275,5,0,0,0,5,1,3
0.13,1.0,4,157,5,1,0,0,9,1,3
0.21,0.66,4,165,5,0,0,0,8,1,3
0.24,0.48,5,123,5,1,0,0,7,1,3
0.15,0.36,5,159,2,0,0,0,2,1,3
0.13,0.91,4,175,5,0,0,0,9,1,3
0.13,0.87,3,185,4,1,0,0,4,1,3
0.15,0.76,5,277,4,0,0,0,5,1,3
0.43,0.85,6,168,2,0,0,0,9,1,3
0.31,0.64,6,183,2,1,0,0,9,1,3
0.15,0.52,4,265,6,0,0,0,8,1,3
0.16,0.88,6,218,3,0,0,0,8,1,3
0.31,0.98,5,232,5,0,0,0,5,1,3
0.32,0.97,6,272,2,0,0,0,7,1,3
0.18,0.7,5,182,4,0,0,0,9,1,3
0.21,0.93,4,243,4,0,0,0,9,1,3
0.15,0.67,6,209,5,0,0,0,9,1,3
0.49,0.92,5,176,3,0,0,0,5,1,3
0.19,0.91,6,152,3,0,0,0,7,1,3
0.48,0.76,5,236,2,0,0,0,7,1,3
0.19,0.5,6,143,5,1,0,0,7,1,3
0.18,0.64,3,223,4,1,0,0,7,1,3
0.26,0.47,6,182,4,0,0,0,7,1,3
0.53,0.5,6,264,6,0,0,0,9,1,3
0.2,0.93,4,101,5,0,0,0,8,1,3
0.22,0.64,3,193,2,0,0,0,9,1,3
0.23,0.84,5,140,4,0,0,0,0,1,3
0.2,0.49,5,199,5,0,0,0,7,1,3
0.44,0.57,5,183,2,1,0,0,7,1,3
0.19,0.86,4,192,4,0,0,0,7,1,3
0.17,0.61,3,241,5,1,0,0,9,1,3
0.22,0.49,4,218,4,0,0,0,5,1,3
0.14,0.68,5,253,5,0,0,0,8,1,3
0.12,0.58,3,241,2,0,0,0,9,1,3
0.15,0.89,3,219,6,0,0,0,5,1,3
0.45,0.92,6,164,4,1,0,0,5,1,3
0.17,0.48,6,270,5,0,0,0,9,1,3
0.3,0.8,6,250,3,0,0,0,8,1,3
0.16,0.74,5,205,4,1,0,0,7,1,3
0.19,0.83,3,225,4,0,0,0,7,1,3
0.58,0.43,6,132,3,0,0,0,7,1,3
0.18,0.81,5,140,4,0,0,0,7,1,3
0.43,0.9,5,282,5,0,0,0,8,1,3
0.18,0.6,3,140,4,0,0,0,7,1,3
0.24,0.77,5,178,5,0,0,0,7,1,3
0.25,0.62,6,271,5,0,0,0,7,1,3
0.16,0.51,3,262,6,0,0,0,7,1,3
0.52,0.47,6,141,5,1,0,0,8,1,3
0.14,0.66,6,142,5,0,0,0,8,1,3
0.15,0.67,4,264,3,0,0,0,0,1,3
0.13,0.76,5,217,3,0,0,0,8,1,3
0.2,0.57,4,269,5,1,0,0,0,1,3
0.18,0.84,4,231,5,0,0,0,7,1,3
0.39,0.41,6,115,3,0,0,0,7,1,3
0.19,0.52,5,200,5,0,0,0,9,1,3
0.41,0.86,6,215,5,0,0,0,7,1,3
0.17,0.4,4,286,3,0,0,0,8,1,3
0.16,0.65,5,165,3,0,0,0,0,1,3
0.18,0.99,4,204,6,0,0,0,0,1,3
0.25,0.59,4,218,3,1,0,0,7,1,3
0.23,0.67,4,163,5,0,0,1,8,1,3
0.12,0.7,4,276,4,0,0,0,7,1,3
0.23,0.66,4,212,4,1,0,0,2,1,3
0.2,0.53,3,149,4,0,0,1,1,1,3
0.23,0.59,5,245,5,0,0,0,3,1,3
0.13,0.95,5,149,2,0,0,0,9,1,3
0.33,0.82,5,249,6,0,0,0,6,1,3
0.17,0.91,4,260,5,0,0,0,6,1,3
0.19,0.8,4,249,5,0,0,0,7,1,3
0.22,0.88,5,154,5,0,0,0,7,1,3
0.17,0.82,6,259,4,0,0,0,2,1,3
0.46,0.38,6,165,3,0,0,0,2,1,3
0.15,0.7,4,220,4,0,0,0,3,1,3
0.16,0.96,6,211,6,1,0,0,1,1,3
0.14,0.73,5,266,6,0,0,0,7,1,3
0.5,0.7,5,166,2,0,0,0,2,1,3
0.35,1.0,6,186,2,0,0,0,9,1,3
0.22,0.69,4,182,6,0,0,0,9,1,3
0.2,0.72,5,123,2,1,0,0,9,1,3
0.33,0.94,4,166,6,0,0,0,9,1,3
0.32,0.4,6,162,5,0,0,0,9,1,3
0.28,0.79,5,202,5,0,0,0,2,1,3
0.13,0.63,6,219,6,0,0,0,5,1,3
0.35,0.59,5,268,3,0,0,0,2,1,3
0.21,0.93,4,260,3,0,0,0,3,1,3
0.21,0.85,5,153,3,0,0,0,3,1,3
0.21,0.78,4,218,6,0,0,0,9,1,3
0.22,0.52,5,109,4,0,0,0,6,1,3
0.12,0.73,6,166,3,0,0,0,0,1,3
0.18,0.59,4,132,3,0,0,0,1,1,3
0.28,0.9,4,275,6,0,0,0,5,1,3
0.5,0.7,5,264,2,0,0,0,9,1,3
0.19,0.72,6,243,6,1,0,0,9,1,3
0.18,0.93,3,245,4,1,0,0,1,1,3
0.5,0.75,5,179,3,0,0,0,2,1,3
0.41,0.47,6,171,2,0,0,0,9,1,3
0.45,0.55,5,268,2,0,0,0,9,1,3
0.35,0.41,6,244,3,0,0,0,9,1,3
0.21,0.76,4,165,6,1,0,0,6,1,3
0.38,0.92,5,238,2,0,0,0,6,1,3
0.17,0.59,4,179,4,0,0,0,6,1,3
0.22,0.78,6,206,6,0,0,0,1,1,3
0.23,0.4,6,110,4,1,0,0,5,1,3
0.15,0.76,4,255,6,0,0,0,2,1,3
0.21,0.58,5,197,4,0,0,0,9,1,3
0.3,0.55,6,178,2,0,0,0,9,1,3
0.49,0.86,5,235,5,0,0,0,9,1,3
0.45,0.62,6,129,5,0,0,0,8,1,3
0.21,0.99,6,165,4,1,0,0,1,1,3
0.48,0.51,5,286,3,0,0,0,4,1,3
0.44,0.99,5,119,2,0,0,0,7,1,3
0.36,0.4,4,114,4,1,0,0,9,1,3
0.15,0.91,5,267,4,0,0,0,9,1,3
0.21,0.4,3,262,3,0,0,0,8,1,3
0.34,0.91,4,284,4,0,0,0,0,1,3
0.36,0.82,4,218,5,0,0,0,1,1,3
0.14,0.52,4,108,6,0,0,0,7,1,3
0.34,0.6,4,154,2,0,0,0,3,1,3
0.26,0.43,4,215,4,1,0,0,8,1,3
0.22,0.63,5,284,6,0,0,0,1,1,3
0.14,0.79,5,163,6,0,0,0,1,1,3
0.61,0.51,6,163,6,0,0,0,9,1,3
0.18,0.51,6,227,2,0,0,0,8,1,3
0.23,0.88,5,156,4,0,0,0,7,1,3
0.19,0.85,6,259,3,1,0,0,8,1,3
0.31,0.61,4,97,2,0,0,0,8,1,3
